Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,SDOH,SDOH_Cat,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,83899,113412,74,1.8143,70.4,77.5,2.5,73,1.839142662,69.4,76.6,2.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,93986,126870,74.1,1.6793,70.8,77.4,2.3,70.8,1.795337557,67.3,74.4,2.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,85590,119206,71.8,1.9307,68,75.6,2.7,67.7,1.989376409,63.8,71.6,2.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,858011,1419548,60.4,0.7580,59,61.9,1.3,60.1,0.83630504,58.5,61.7,1.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,855711,1382477,61.9,0.7620,60.4,63.4,1.2,61.7,0.828584059,60.1,63.3,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,830398,1339510,62,0.8125,60.4,63.6,1.3,61.4,0.806299044,59.9,63,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,765811,1243387,61.6,0.8343,60,63.2,1.4,60.3,0.822109284,58.6,61.9,1.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,604897,972855,62.2,0.9675,60.3,64.1,1.6,60.5,0.937498096,58.7,62.4,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,1149583,1953716,58.8,0.9649,56.9,60.7,1.6,60.3,0.918059607,58.5,62.1,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,1256725,2026046,62,0.8666,60.3,63.7,1.4,61.9,0.916131992,60.1,63.7,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,1285504,2034782,63.2,0.8710,61.5,64.9,1.4,62.9,0.896018285,61.2,64.7,1.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,1348069,2153381,62.6,0.8327,61,64.2,1.3,62.3,0.803231063,60.7,63.8,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,1360196,2144803,63.4,0.8115,61.8,65,1.3,62.1,0.797727711,60.5,63.7,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,101260,174576,58,1.9847,54.1,61.9,3.4,60,1.874565206,56.3,63.6,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,113147,185884,60.9,1.7846,57.4,64.4,2.9,60.7,1.910080896,57,64.5,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,114896,178073,64.5,1.7874,61,68,2.8,65.1,1.827032868,61.5,68.6,2.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,124912,180100,69.4,1.6154,66.2,72.5,2.3,68.2,1.549773824,65.2,71.2,2.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,123988,174938,70.9,1.4727,68,73.8,2.1,69.2,1.528409658,66.2,72.2,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,66207,108901,60.8,2.4562,56,65.6,4,62.9,2.228425917,58.6,67.3,3.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,77761,111482,69.8,1.8843,66.1,73.4,2.7,69.2,2.058837867,65.2,73.3,3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,102859,144360,71.3,1.8514,67.6,74.9,2.6,70.8,1.83969714,67.2,74.5,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,120270,172355,69.8,1.6238,66.6,73,2.3,69.8,1.616538919,66.6,73,2.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,181986,247108,73.6,1.3774,70.9,76.3,1.9,73.1,1.348626946,70.4,75.7,1.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,249683,414747,60.2,1.4070,57.4,63,2.3,62.5,1.336673463,59.8,65.1,2.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,320113,505331,63.3,1.2784,60.8,65.9,2,63.9,1.259311025,61.4,66.4,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,374353,596417,62.8,1.1050,60.6,64.9,1.8,63.5,1.106044617,61.4,65.7,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,419722,641336,65.4,1.0560,63.4,67.5,1.6,65.6,1.036967364,63.6,67.6,1.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,631418,941436,67.1,0.8802,65.3,68.8,1.3,66.3,0.882027877,64.6,68.1,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,362827,687770,52.8,1.1122,50.6,54.9,2.1,54,1.158466264,51.8,56.3,2.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,403801,728196,55.5,1.1493,53.2,57.7,2.1,55.6,1.185166346,53.3,57.9,2.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,409060,711824,57.5,1.1297,55.2,59.7,2,57.1,1.138282336,54.9,59.3,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,411724,692029,59.5,1.1316,57.3,61.7,1.9,58.5,1.119198497,56.3,60.7,1.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,443636,720208,61.6,1.0803,59.5,63.7,1.8,60,1.071887129,57.9,62.1,1.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,511518,871529,58.7,1.4633,55.8,61.6,2.5,61.4,1.36855681,58.7,64,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,638455,962505,66.3,1.2243,63.9,68.7,1.8,66.5,1.312996007,63.9,69.1,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,689022,1021931,67.4,1.2342,65,69.8,1.8,67.8,1.252489956,65.3,70.2,1.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,774100,1093631,70.8,1.0938,68.6,72.9,1.5,70.2,1.093429796,68,72.3,1.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,860729,1184114,72.7,1.0675,70.6,74.8,1.5,71.6,1.019310107,69.6,73.6,1.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,19874,29127,68.2,3.1100,62.1,74.3,4.6,67.5,3.347124253,60.9,74.1,5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,27319,36240,75.4,2.7376,70,80.8,3.6,74.6,3.63667163,67.4,81.7,4.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,26894,32753,82.1,2.3449,77.5,86.7,2.9,80.2,2.652637097,75,85.4,3.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,34014,41027,82.9,2.1532,78.7,87.1,2.6,82.1,2.267152918,77.7,86.5,2.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,46592,58888,79.1,2.2372,74.7,83.5,2.8,75.6,2.434625854,70.8,80.4,3.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,3918,6295,62.2,4.1462,54.1,70.4,6.7,64.9,4.212908941,56.6,73.2,6.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,8019,11406,70.3,3.3580,63.7,76.9,4.8,68.9,3.768048711,61.6,76.3,5.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,9024,11208,80.5,2.7210,75.2,85.9,3.4,77.7,3.428109976,71,84.4,4.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,9058,11820,76.6,2.9655,70.8,82.5,3.9,78.5,2.701626648,73.2,83.8,3.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,11680,13972,83.6,2.4616,78.8,88.4,2.9,82.1,2.606371349,77,87.2,3.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,39544,58202,67.9,2.5092,63,72.9,3.7,69.3,2.635042778,64.2,74.5,3.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,39542,57560,68.7,2.5524,63.7,73.7,3.7,68.1,2.739084552,62.7,73.4,4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,50798,66532,76.4,2.1405,72.2,80.6,2.8,75.4,2.273174806,71,79.9,3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,62812,82810,75.9,2.0719,71.8,79.9,2.7,74.3,2.158715649,70.1,78.5,2.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,66176,83666,79.1,1.7728,75.6,82.6,2.2,75,1.940723532,71.2,78.8,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,24802,34894,71.1,2.9772,65.2,76.9,4.2,72.4,3.153471802,66.2,78.5,4.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,37210,49506,75.2,2.5243,70.2,80.1,3.4,74.9,2.770887808,69.5,80.4,3.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,45596,61638,74,2.6774,68.7,79.2,3.6,73.1,2.530344976,68.1,78,3.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,55035,67838,81.1,2.0780,77,85.2,2.6,77.9,2.435689404,73.1,82.6,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,46584,60078,77.5,2.4343,72.8,82.3,3.1,71.9,2.442943036,67.2,76.7,3.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,385362,617759,62.4,1.2381,60,64.8,2,62.4,1.272125952,59.9,64.9,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,447128,659871,67.8,1.1634,65.5,70,1.7,67.8,1.183118905,65.5,70.1,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,461574,685148,67.4,1.1038,65.2,69.5,1.6,66.8,1.109409726,64.6,68.9,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,475983,673836,70.6,1.1250,68.4,72.8,1.6,69.9,1.057522897,67.8,72,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,399156,558550,71.5,1.0896,69.3,73.6,1.5,69,1.143147652,66.8,71.3,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,511518,871529,58.7,1.4633,55.8,61.6,2.5,61.4,1.36855681,58.7,64,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,638455,962505,66.3,1.2243,63.9,68.7,1.8,66.5,1.312996007,63.9,69.1,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,689022,1021931,67.4,1.2342,65,69.8,1.8,67.8,1.252489956,65.3,70.2,1.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,774100,1093631,70.8,1.0938,68.6,72.9,1.5,70.2,1.093429796,68,72.3,1.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,860729,1184114,72.7,1.0675,70.6,74.8,1.5,71.6,1.019310107,69.6,73.6,1.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,46354,77084,60.1,2.7073,54.8,65.4,4.5,61.7,2.698999632,56.4,67,4.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,59496,89591,66.4,2.4990,61.5,71.3,3.8,66.7,2.573854638,61.6,71.7,3.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,65820,94458,69.7,2.4922,64.8,74.6,3.6,70.8,2.62457355,65.6,75.9,3.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,72948,92720,78.7,1.9611,74.8,82.5,2.5,77.4,1.952441184,73.6,81.3,2.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,80737,100602,80.3,1.8232,76.7,83.8,2.3,79.5,1.802737117,76,83,2.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,26231,41438,63.3,3.9593,55.5,71.1,6.3,67.6,3.292338578,61.1,74,4.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,38621,53006,72.9,2.8492,67.3,78.5,3.9,71.2,2.987620189,65.3,77,4.2
