Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,SDOH,SDOH_Cat,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,11261,24601,45.8,2.7105,40.5,51.1,5.9,44.4,2.541778305,39.4,49.4,5.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,37213,125055,29.8,1.7109,26.4,33.1,5.7,28.9,1.710550022,25.6,32.3,5.9
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,42417,127147,33.4,1.6330,30.2,36.6,4.9,30.4,1.700415756,27.1,33.8,5.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,51415,143448,35.8,1.6060,32.7,39,4.5,35.3,1.676979093,32,38.6,4.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,58705,157243,37.3,1.5169,34.4,40.3,4.1,36.9,1.580647319,33.8,40,4.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,60980,160151,38.1,1.7024,34.7,41.4,4.5,36.6,1.631580663,33.4,39.8,4.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,25160,88370,28.5,1.6482,25.2,31.7,5.8,27.1,1.950609465,23.3,30.9,7.2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,40427,112808,35.8,1.9783,32,39.7,5.5,34.8,2.164973251,30.6,39.1,6.2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,41991,113412,37,2.0198,33.1,41,5.5,36.9,2.01513161,32.9,40.8,5.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,45106,126870,35.6,1.8616,31.9,39.2,5.2,33.9,1.912717947,30.1,37.6,5.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,43587,119206,36.6,1.8373,33,40.2,5,34.6,1.918332238,30.9,38.4,5.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,481294,1419548,33.9,0.7871,32.4,35.4,2.3,33.3,0.88828951,31.5,35,2.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,496313,1382477,35.9,0.7899,34.4,37.5,2.2,35.5,0.866078029,33.8,37.2,2.4
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,490710,1339510,36.6,0.7593,35.1,38.1,2.1,36.6,0.812027323,35,38.2,2.2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,466168,1243387,37.5,0.8052,35.9,39.1,2.1,37.4,0.818844497,35.8,39,2.2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,385225,972855,39.6,0.9203,37.8,41.4,2.3,38.7,0.933332756,36.8,40.5,2.4
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,628356,1953716,32.2,0.8637,30.5,33.9,2.7,32.6,0.891904166,30.9,34.4,2.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,708485,2026046,35,0.8615,33.3,36.7,2.5,34.9,0.91906931,33.1,36.7,2.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,745670,2034782,36.6,0.8283,35,38.3,2.3,36.4,0.845331607,34.8,38.1,2.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,774664,2153381,36,0.8036,34.4,37.6,2.2,35.8,0.763256801,34.3,37.3,2.1
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,844759,2144803,39.4,0.8338,37.8,41,2.1,39.2,0.791154446,37.7,40.8,2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,54908,174576,31.5,1.5644,28.4,34.5,5,32.3,1.770823542,28.8,35.7,5.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,58885,185884,31.7,1.6881,28.4,35,5.3,31.5,1.748185969,28.1,34.9,5.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,63480,178073,35.6,1.6696,32.4,38.9,4.7,36.2,1.821184349,32.6,39.8,5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,64477,180100,35.8,1.6542,32.6,39,4.6,35.5,1.630379094,32.3,38.7,4.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,66152,174938,37.8,1.5948,34.7,40.9,4.2,37.5,1.628214021,34.3,40.7,4.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,30232,108901,27.8,1.8175,24.2,31.3,6.5,27.6,2.044967447,23.6,31.6,7.4
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,39470,111482,35.4,2.0602,31.4,39.4,5.8,35.3,2.240019117,30.9,39.7,6.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,50871,144360,35.2,1.8780,31.6,38.9,5.3,35,1.891664386,31.2,38.7,5.4
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,63943,172355,37.1,1.7737,33.6,40.6,4.8,37.3,1.785117074,33.8,40.8,4.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,106015,247108,42.9,1.5161,39.9,45.9,3.5,42.3,1.568742007,39.2,45.3,3.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,127292,414747,30.7,1.2089,28.3,33.1,3.9,31.5,1.339536766,28.9,34.2,4.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,181691,505331,36,1.3005,33.4,38.5,3.6,35.8,1.341086314,33.2,38.4,3.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,201660,596417,33.8,1.0323,31.8,35.8,3.1,33.9,1.044831634,31.8,35.9,3.1
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,236049,641336,36.8,1.0251,34.8,38.8,2.8,36.9,1.048855069,34.8,39,2.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,368802,941436,39.2,0.9737,37.3,41.1,2.5,39.5,0.926987705,37.7,41.3,2.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 1 (lowest),2015-2018,214457,687770,31.2,1.0462,29.1,33.2,3.4,31.5,1.13350836,29.3,33.7,3.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 2,2015-2018,252527,728196,34.7,1.0255,32.7,36.7,3,34.3,1.165633707,32,36.6,3.4
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 3,2015-2018,247205,711824,34.7,1.0615,32.6,36.8,3.1,34.5,1.133814331,32.2,36.7,3.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 4,2015-2018,248768,692029,35.9,1.0914,33.8,38.1,3,35.6,1.04421885,33.5,37.6,2.9
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,Income (household),Quintile 5 (highest),2015-2018,281939,720208,39.1,1.1265,36.9,41.4,2.9,38.5,1.09867803,36.4,40.7,2.9
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,310571,871529,35.6,1.3246,33,38.2,3.7,36.6,1.419637316,33.9,39.4,3.9
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,377119,962505,39.2,1.2283,36.8,41.6,3.1,39.3,1.357080281,36.7,42,3.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,404245,1021931,39.6,1.1633,37.3,41.8,2.9,39.6,1.19244081,37.3,41.9,3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,444369,1093631,40.6,1.1453,38.4,42.9,2.8,40.3,1.098790965,38.2,42.5,2.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,543800,1184114,45.9,1.1453,43.7,48.2,2.5,46,1.098541503,43.9,48.2,2.4
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,8822,29127,30.3,3.1139,24.2,36.4,10.3,28.7,3.235726176,22.3,35,11.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,12488,36240,34.5,2.8407,28.9,40,8.2,32.7,3.58122958,25.7,39.7,11
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,12129,32753,37,2.7230,31.7,42.4,7.4,36.2,3.144677829,30,42.4,8.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,15308,41027,37.3,2.8506,31.7,42.9,7.6,37,2.699492779,31.7,42.3,7.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,20605,58888,35,2.6226,29.8,40.1,7.5,35.4,2.637130629,30.2,40.5,7.4
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,2123,6295,33.7,4.0740,25.7,41.7,12.1,34.1,4.451722935,25.4,42.8,13.1
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,4205,11406,36.9,3.5474,29.9,43.8,9.6,36.9,3.884298935,29.3,44.5,10.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,5519,11208,49.2,3.7531,41.9,56.6,7.6,45.1,3.94776808,37.3,52.8,8.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,4665,11820,39.5,3.4368,32.7,46.2,8.7,41.3,3.619831599,34.2,48.4,8.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,7172,13972,51.3,3.6584,44.2,58.5,7.1,49.5,3.445562083,42.8,56.3,7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,18962,58202,32.6,2.5615,27.6,37.6,7.9,32.4,2.599235498,27.3,37.5,8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,19915,57560,34.6,2.5404,29.6,39.6,7.3,33.3,2.712966582,28,38.6,8.1
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,25514,66532,38.3,2.3405,33.8,42.9,6.1,37.8,2.587485425,32.7,42.9,6.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,31518,82810,38.1,2.1586,33.8,42.3,5.7,38.1,2.268716733,33.7,42.6,6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,37818,83666,45.2,2.1644,41,49.4,4.8,42.9,2.371004062,38.3,47.6,5.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,11928,34894,34.2,2.8991,28.5,39.9,8.5,32.6,3.093575855,26.5,38.6,9.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,18891,49506,38.2,3.0313,32.2,44.1,7.9,38.3,3.27650568,31.8,44.7,8.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,22838,61638,37.1,2.8307,31.5,42.6,7.6,37.1,2.803641332,31.6,42.6,7.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,27991,67838,41.3,2.6180,36.1,46.4,6.3,39.3,2.72791961,34,44.7,6.9
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,25067,60078,41.7,2.5172,36.8,46.7,6,39.5,2.676817111,34.2,44.7,6.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,230000,617759,37.2,1.2475,34.8,39.7,3.4,37,1.364627791,34.3,39.6,3.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,272557,659871,41.3,1.3010,38.8,43.9,3.1,40.9,1.309679752,38.4,43.5,3.2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,276228,685148,40.3,1.1110,38.1,42.5,2.8,40.2,1.143536988,38,42.5,2.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,298241,673836,44.3,1.2020,41.9,46.6,2.7,44.5,1.175563109,42.2,46.8,2.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,252181,558550,45.1,1.2634,42.7,47.6,2.8,44,1.271054333,41.5,46.5,2.9
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,310571,871529,35.6,1.3246,33,38.2,3.7,36.6,1.419637316,33.9,39.4,3.9
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,377119,962505,39.2,1.2283,36.8,41.6,3.1,39.3,1.357080281,36.7,42,3.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,404245,1021931,39.6,1.1633,37.3,41.8,2.9,39.6,1.19244081,37.3,41.9,3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,444369,1093631,40.6,1.1453,38.4,42.9,2.8,40.3,1.098790965,38.2,42.5,2.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,543800,1184114,45.9,1.1453,43.7,48.2,2.5,46,1.098541503,43.9,48.2,2.4
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,26739,77084,34.7,2.4917,29.8,39.6,7.2,35.3,2.667672939,30.1,40.5,7.6
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,34073,89591,38,2.6233,32.9,43.2,6.9,38.5,2.633172999,33.3,43.6,6.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,38139,94458,40.4,2.4796,35.5,45.2,6.1,41.4,2.680384442,36.2,46.7,6.5
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,37707,92720,40.7,2.2733,36.2,45.1,5.6,40.7,2.333345886,36.2,45.3,5.7
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,43093,100602,42.8,2.2803,38.4,47.3,5.3,43,2.291755453,38.5,47.5,5.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,12456,41438,30.1,3.3939,23.4,36.7,11.3,30.9,3.342818032,24.4,37.5,10.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,19932,53006,37.6,3.3049,31.1,44.1,8.8,37.5,3.432081447,30.8,44.2,9.2
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,30456,75623,40.3,2.8007,34.8,45.8,7,39.9,2.823263736,34.4,45.5,7.1
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,Income (household),Quintile 4,2015-2018,38013,89971,42.2,2.6813,37,47.5,6.3,41.9,2.630224385,36.8,47.1,6.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,Income (household),Quintile 5 (highest),2015-2018,68538,145248,47.2,1.9452,43.4,51,4.1,46.7,2.007602698,42.7,50.6,4.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,males,Income (household),Quintile 1 (lowest),2015-2018,64007,184362,34.7,2.0263,30.7,38.7,5.8,36,2.092188254,31.9,40.1,5.8
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,males,Income (household),Quintile 2,2015-2018,96530,240784,40.1,1.9566,36.3,43.9,4.9,39.9,2.097501659,35.8,44.1,5.3
Overweight,"Prevalence (%) of overweight (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,males,Income (household),Quintile 3,2015-2018,115857,297782,38.9,1.6168,35.7,42.1,4.2,38.1,1.625956058,34.9,41.2,4.3
