Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,both sexes,2015-2018,786152,3540027,22.2,0.4216,21.4,23,1.9,22.1,0.409866999,21.3,22.9,1.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,YUKON,60,adults aged 18+ years,both sexes,2015-2018,9679,27655.54,35,2.2685,30.5,39.5,6.5,34.6,2.243825591,30.2,39,6.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NORTHWEST TERRITORIES,61,adults aged 18+ years,both sexes,2015-2018,11747,29579.09,39.7,2.2158,35.4,44.1,5.6,39.9,2.221125057,35.6,44.3,5.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NUNAVUT,62,adults aged 18+ years,both sexes,2015-2018,6750,20480.06,33,2.1926,28.7,37.3,6.7,34,3.354730127,27.5,40.6,9.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,males,2015-2018,3747461,13339048,28.1,0.3617,27.4,28.8,1.3,28.1,0.348832666,27.4,28.8,1.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,males,2015-2018,85342,198035,43.1,1.2965,40.6,45.6,3,42.9,1.397927672,40.1,45.6,3.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,males,2015-2018,18015,54700,32.9,1.5666,29.9,36,4.8,32.8,1.604660081,29.6,35.9,4.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,males,2015-2018,125144,348769,35.9,1.1092,33.7,38.1,3.1,35.5,1.043051752,33.4,37.5,2.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,males,2015-2018,102512,273954,37.4,1.2324,35,39.8,3.3,36.3,1.248544477,33.9,38.8,3.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,males,2015-2018,839995,3195163,26.3,0.4874,25.3,27.2,1.9,26,0.480841441,25,26.9,1.8
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,2015-2018,1393721,5133709,27.1,0.4361,26.3,28,1.6,27.2,0.453600252,26.4,28.1,1.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,2015-2018,145605,454454,32,1.0210,30,34,3.2,32.1,1.026137939,30.1,34.1,3.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,2015-2018,143544,405285,35.4,1.1270,33.2,37.6,3.2,35.6,1.112085308,33.4,37.8,3.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,males,2015-2018,488133,1605829,30.4,0.7358,29,31.8,2.4,30.8,0.688125577,29.4,32.1,2.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,males,2015-2018,418562,1770244,23.6,0.5973,22.5,24.8,2.5,23.7,0.585179304,22.6,24.9,2.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,YUKON,60,adults aged 18+ years,males,2015-2018,5253.73,14464.99,36.3,3.0030,30.4,42.2,8.3,36.3,3.316567972,29.8,42.8,9.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NORTHWEST TERRITORIES,61,adults aged 18+ years,males,2015-2018,6434.23,15467.4,41.6,3.1749,35.4,47.8,7.6,40.8,3.301277608,34.3,47.3,8.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NUNAVUT,62,adults aged 18+ years,males,2015-2018,3460.32,11385.74,30.4,3.6980,23.1,37.6,12.2,31.7,4.604291881,22.7,40.7,14.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,CANADA,0,adults aged 18+ years,females,2015-2018,3270871,13190738,24.8,0.3246,24.2,25.4,1.3,24.6,0.325714124,23.9,25.2,1.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,females,2015-2018,76227,202090,37.7,1.2879,35.2,40.2,3.4,37.3,1.28144166,34.8,39.8,3.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,females,2015-2018,18372,55995,32.8,1.3965,30.1,35.6,4.3,32.5,1.400040025,29.7,35.2,4.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,females,2015-2018,119560,364275,32.8,0.9085,31,34.6,2.8,32.4,0.973966521,30.5,34.4,3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,females,2015-2018,107882,286712,37.6,1.2134,35.2,40,3.2,36.9,1.240536357,34.4,39.3,3.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,females,2015-2018,755123,3162615,23.9,0.4710,23,24.8,2,23.4,0.469150141,22.5,24.3,2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,females,2015-2018,1304422,5179017,25.2,0.4578,24.3,26.1,1.8,25,0.435702587,24.1,25.8,1.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,females,2015-2018,124696,439116,28.4,0.9425,26.5,30.2,3.3,28.4,0.939846594,26.6,30.2,3.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,females,2015-2018,115009,378920,30.4,1.0050,28.4,32.3,3.3,30.2,1.032232986,28.2,32.2,3.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,females,2015-2018,391663,1493438,26.2,0.6452,25,27.5,2.5,26.4,0.608814211,25.2,27.6,2.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,females,2015-2018,367590,1769783,20.8,0.5507,19.7,21.9,2.7,20.5,0.561694719,19.4,21.6,2.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,YUKON,60,adults aged 18+ years,females,2015-2018,4425.83,13190.55,33.6,3.4554,26.8,40.3,10.3,33.4,3.245421084,27,39.8,9.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NORTHWEST TERRITORIES,61,adults aged 18+ years,females,2015-2018,5313.18,14111.69,37.7,2.9791,31.8,43.5,7.9,39.1,3.311343022,32.6,45.6,8.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",province/territory,NUNAVUT,62,adults aged 18+ years,females,2015-2018,3290.21,9094.32,36.2,4.4968,27.4,45,12.4,37,5.292068811,26.6,47.4,14.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,CANADA,0,adults aged 18+ years,both sexes,2015-2018,7018332,26529786,26.5,0.2410,26,26.9,0.9,26.3,0.239323291,25.9,26.8,0.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Eastern Regional,1011,adults aged 18+ years,both sexes,2015-2018,94679,244796,38.7,1.3599,36,41.3,3.5,38.6,1.405156709,35.8,41.3,3.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Central Regional,1012,adults aged 18+ years,both sexes,2015-2018,27918,69199,40.3,1.8178,36.8,43.9,4.5,40.2,2.180178877,35.9,44.5,5.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Western Regional,1013,adults aged 18+ years,both sexes,2015-2018,27230,60676,44.9,2.0257,40.9,48.9,4.5,44.8,1.983670754,40.9,48.6,4.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Labrador-Grenfell Regional,1014,adults aged 18+ years,both sexes,2015-2018,11742,25455,46.1,1.9417,42.3,49.9,4.2,45.6,1.922223987,41.8,49.4,4.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Prince Edward Island,1100,adults aged 18+ years,both sexes,2015-2018,36387,110696,32.9,1.0722,30.8,35,3.3,32.5,1.049547802,30.4,34.5,3.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 1 - Western,1201,adults aged 18+ years,both sexes,2015-2018,55157,147696,37.3,1.4981,34.4,40.3,4,37.3,1.58208697,34.2,40.4,4.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 2 - Northern,1202,adults aged 18+ years,both sexes,2015-2018,41112,109020,37.7,1.6647,34.4,41,4.4,37.1,1.641066984,33.9,40.3,4.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 3 - Eastern,1203,adults aged 18+ years,both sexes,2015-2018,44231,114341,38.7,1.6654,35.4,42,4.3,38.6,1.79381704,35.1,42.2,4.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 4 - Central,1204,adults aged 18+ years,both sexes,2015-2018,104203,341987,30.5,1.1954,28.1,32.8,3.9,30.5,1.1353369,28.3,32.7,3.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 1 (Moncton area),1301,adults aged 18+ years,both sexes,2015-2018,61478,162425,37.9,1.7862,34.3,41.4,4.7,36.6,1.746781023,33.2,40,4.8
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 2 (Saint John area),1302,adults aged 18+ years,both sexes,2015-2018,49138,128772,38.2,2.0191,34.2,42.1,5.3,36.7,1.712865608,33.4,40.1,4.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 3 (Fredericton area),1303,adults aged 18+ years,both sexes,2015-2018,47236,127600,37,1.9157,33.3,40.8,5.2,37,2.008892048,33,40.9,5.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 4 (Edmundston area),1304,adults aged 18+ years,both sexes,2015-2018,13491,35200,38.3,2.6341,33.2,43.5,6.9,37.9,3.153108718,31.7,44,8.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 5 (Campbellton area),1305,adults aged 18+ years,both sexes,2015-2018,7223,18192,39.7,3.7888,32.3,47.1,9.5,39.5,3.528038829,32.6,46.4,8.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 6 (Bathurst area),1306,adults aged 18+ years,both sexes,2015-2018,19092,57549,33.2,1.8872,29.5,36.9,5.7,31.8,2.364862331,27.2,36.5,7.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Zone 7 (Miramichi area),1307,adults aged 18+ years,both sexes,2015-2018,12736,30928,41.2,2.9571,35.4,47,7.2,42,2.9521258,36.2,47.8,7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Bas-Saint-Laurent,2401,adults aged 18+ years,both sexes,2015-2018,39571,156634,25.3,1.5246,22.3,28.3,6,24.8,1.363965263,22.1,27.5,5.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Saguenay - Lac-Saint-Jean,2402,adults aged 18+ years,both sexes,2015-2018,51931,212025,24.5,1.3667,21.8,27.2,5.6,24.3,1.243663269,21.8,26.7,5.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Capitale-Nationale,2403,adults aged 18+ years,both sexes,2015-2018,130421,583270,22.4,1.0054,20.4,24.3,4.5,22.2,1.040166891,20.1,24.2,4.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Mauricie et du Centre-du-Qu‚bec,2404,adults aged 18+ years,both sexes,2015-2018,114198,394432,29,1.0171,27,30.9,3.5,28.3,1.206400166,26,30.7,4.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,L'Estrie,2405,adults aged 18+ years,both sexes,2015-2018,97778,369846,26.4,1.1482,24.2,28.7,4.3,26,1.27040631,23.5,28.5,4.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,R‚gion de Montr‚al,2406,adults aged 18+ years,both sexes,2015-2018,318687,1543975,20.6,0.8682,18.9,22.3,4.2,20.9,0.840911654,19.3,22.6,4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,L'Outaouais,2407,adults aged 18+ years,both sexes,2015-2018,80247,293831,27.3,1.0585,25.2,29.4,3.9,26.9,1.17350489,24.6,29.2,4.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,L'Abitibi-T‚miscamingue,2408,adults aged 18+ years,both sexes,2015-2018,37444,110043,34,1.3708,31.3,36.7,4,33.8,1.546931769,30.8,36.9,4.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,C“te-Nord,2409,adults aged 18+ years,both sexes,2015-2018,21831,62557,34.9,1.7292,31.5,38.3,5,34.1,1.682783175,30.8,37.4,4.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Nord-du-Qu‚bec,2410,adults aged 18+ years,both sexes,2015-2018,3277,10793,30.4,2.2179,26,34.7,7.3,30,2.058123091,26,34,6.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Gasp‚sie - ×les-de-la-Madeleine,2411,adults aged 18+ years,both sexes,2015-2018,22249,71874,31,1.4520,28.1,33.8,4.7,30.7,1.665293525,27.4,34,5.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,ChaudiŠre-Appalaches,2412,adults aged 18+ years,both sexes,2015-2018,73663,327032,22.5,1.2493,20.1,25,5.5,22.2,1.214905637,19.8,24.6,5.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,R‚gion de Laval,2413,adults aged 18+ years,both sexes,2015-2018,81773,324751,25.2,1.1839,22.9,27.5,4.7,24.8,1.146592242,22.6,27,4.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,R‚gion de LanaudiŠre,2414,adults aged 18+ years,both sexes,2015-2018,109689,379465,28.9,1.5750,25.8,32,5.4,28.2,1.226926486,25.8,30.6,4.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,R‚gion des Laurentides,2415,adults aged 18+ years,both sexes,2015-2018,115254,463362,24.9,1.0541,22.8,26.9,4.2,24.5,1.148549339,22.2,26.7,4.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Mont‚r‚gie,2416,adults aged 18+ years,both sexes,2015-2018,297105,1053889,28.2,1.0730,26.1,30.3,3.8,27.9,1.025584281,25.9,29.9,3.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,The District of Algoma HU,3526,adults aged 18+ years,both sexes,2015-2018,30345,83520,36.3,1.5797,33.2,39.4,4.3,35.2,2.074568919,31.2,39.3,5.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Brant County HU,3527,adults aged 18+ years,both sexes,2015-2018,30536,95755,31.9,1.8520,28.3,35.5,5.8,32.1,1.837574837,28.5,35.7,5.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Durham Regional HU,3530,adults aged 18+ years,both sexes,2015-2018,143931,493737,29.2,1.6856,25.8,32.5,5.8,28.9,1.474794734,26.1,31.8,5.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Elgin-St Thomas HU,3531,adults aged 18+ years,both sexes,2015-2018,23694,64758,36.6,1.7986,33.1,40.1,4.9,35.9,2.128161228,31.7,40,5.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Grey Bruce HU,3533,adults aged 18+ years,both sexes,2015-2018,41589,120763,34.4,1.7481,31,37.9,5.1,34.1,1.904547653,30.4,37.8,5.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Haldimand-Norfolk HU,3534,adults aged 18+ years,both sexes,2015-2018,24129,84160,28.7,1.5886,25.6,31.8,5.5,28.4,1.778901787,25,31.9,6.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,"Haliburton, Kawartha, Pine Ridge District HU",3535,adults aged 18+ years,both sexes,2015-2018,49583,143078,34.7,1.9787,30.8,38.5,5.7,34.7,2.229962222,30.4,39.1,6.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Halton Regional HU,3536,adults aged 18+ years,both sexes,2015-2018,99923,417787,23.9,1.2449,21.5,26.4,5.2,23.7,1.25381973,21.3,26.2,5.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,City of Hamilton HU,3537,adults aged 18+ years,both sexes,2015-2018,112815,414255,27.2,1.6854,23.9,30.5,6.2,27.4,1.487099073,24.5,30.3,5.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Hastings and Prince Edward Counties HU,3538,adults aged 18+ years,both sexes,2015-2018,41941,119238,35.2,1.9040,31.4,38.9,5.4,34.9,2.102921273,30.8,39.1,6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Huron County HU,3539,adults aged 18+ years,both sexes,2015-2018,14371,42086,34.1,2.4010,29.4,38.9,7,33.4,2.122528985,29.2,37.6,6.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Chatham-Kent HU,3540,adults aged 18+ years,both sexes,2015-2018,28962,76390,37.9,2.0462,33.9,41.9,5.4,38.4,1.935748159,34.6,42.1,5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,"Kingston, Frontenac and Lennox and Addington HU",3541,adults aged 18+ years,both sexes,2015-2018,49206,152483,32.3,1.9349,28.5,36.1,6,32.4,1.811541313,28.9,36,5.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Lambton HU,3542,adults aged 18+ years,both sexes,2015-2018,28806,94495,30.5,1.8509,26.9,34.1,6.1,29.8,1.907017452,26.1,33.6,6.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,"Leeds, Grenville and Lanark District HU",3543,adults aged 18+ years,both sexes,2015-2018,44470,128819,34.5,2.4783,29.7,39.4,7.2,34.8,2.265640155,30.4,39.3,6.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Middlesex-London HU,3544,adults aged 18+ years,both sexes,2015-2018,92482,348556,26.5,1.6051,23.4,29.7,6,27,1.498951631,24,29.9,5.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Niagara Regional Area HU,3546,adults aged 18+ years,both sexes,2015-2018,101525,341078,29.8,1.5614,26.7,32.8,5.2,28.9,1.585632823,25.8,32,5.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,North Bay Parry Sound District HU,3547,adults aged 18+ years,both sexes,2015-2018,30413,96037,31.7,1.7153,28.3,35,5.4,31.2,2.15261569,27,35.4,6.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Northwestern HU,3549,adults aged 18+ years,both sexes,2015-2018,17120,47520,36,2.3905,31.3,40.7,6.6,35.7,2.177974701,31.4,40,6.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,City of Ottawa HU,3551,adults aged 18+ years,both sexes,2015-2018,167177,722543,23.1,1.1481,20.9,25.4,5,23.2,1.188364111,20.8,25.5,5.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Oxford County HU,3552,adults aged 18+ years,both sexes,2015-2018,30647,82492,37.2,1.8649,33.5,40.8,5,37.4,2.067117645,33.3,41.4,5.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Peel Regional HU,3553,adults aged 18+ years,both sexes,2015-2018,239454,1037726,23.1,1.1601,20.8,25.4,5,23.4,1.089078449,21.3,25.5,4.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Perth District HU,3554,adults aged 18+ years,both sexes,2015-2018,20177,57659,35,1.9480,31.2,38.8,5.6,34.3,2.134375269,30.2,38.5,6.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Peterborough County-City HU,3555,adults aged 18+ years,both sexes,2015-2018,36597,108749,33.7,2.3947,29,38.4,7.1,34.5,2.330299934,30,39.1,6.8
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Porcupine HU,3556,adults aged 18+ years,both sexes,2015-2018,23296,60015,38.8,2.4601,34,43.6,6.3,38.3,2.092392149,34.2,42.4,5.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Renfrew County and District HU,3557,adults aged 18+ years,both sexes,2015-2018,25517,75062,34,2.0586,30,38,6.1,33.7,2.147909066,29.5,37.9,6.4
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Eastern Ontario HU,3558,adults aged 18+ years,both sexes,2015-2018,49857,152867,32.6,2.0255,28.6,36.6,6.2,31.9,1.884555884,28.2,35.6,5.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Simcoe Muskoka District HU,3560,adults aged 18+ years,both sexes,2015-2018,132826,418520,31.7,1.7526,28.3,35.2,5.5,31.2,1.495135463,28.3,34.1,4.8
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Sudbury and District HU,3561,adults aged 18+ years,both sexes,2015-2018,47801,144823,33,1.6221,29.8,36.2,4.9,32.6,1.806120557,29.1,36.2,5.5
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Thunder Bay District HU,3562,adults aged 18+ years,both sexes,2015-2018,37885,106711,35.5,1.6179,32.3,38.7,4.6,35.2,1.739340885,31.8,38.7,4.9
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Timiskaming HU,3563,adults aged 18+ years,both sexes,2015-2018,9855,23907,41.2,2.6423,36,46.4,6.4,41.1,2.980970972,35.2,46.9,7.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Waterloo HU,3565,adults aged 18+ years,both sexes,2015-2018,117275,404636,29,1.6986,25.6,32.3,5.9,28.9,1.501382469,26,31.9,5.2
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Wellington-Dufferin-Guelph HU,3566,adults aged 18+ years,both sexes,2015-2018,61900,213408,29,1.4662,26.1,31.9,5.1,29.1,1.541353011,26.1,32.1,5.3
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Windsor-Essex County HU,3568,adults aged 18+ years,both sexes,2015-2018,98251,300427,32.7,1.5617,29.6,35.8,4.8,32.6,1.666402918,29.4,35.9,5.1
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,York Regional HU,3570,adults aged 18+ years,both sexes,2015-2018,163142,840835,19.4,1.1456,17.2,21.7,5.9,19.4,1.160262394,17.1,21.6,6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,City of Toronto HU,3595,adults aged 18+ years,both sexes,2015-2018,430647,2197833,19.6,0.8665,17.9,21.3,4.4,19.9,0.907048405,18.2,21.7,4.6
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Winnipeg RHA,4601,adults aged 18+ years,both sexes,2015-2018,145671,550155,26.5,1.0454,24.4,28.5,3.9,26.7,0.997456322,24.7,28.6,3.7
Obesity,"Prevalence (%) of obesity (self-reported, adjusted BMI)",Health Regions,Prairie Mountain Health,4602,adults aged 18+ years,both sexes,2015-2018,41844,113048,37,1.7480,33.6,40.4,4.7,36.8,1.613593578,33.7,40,4.4
