Indicator,Indicator_Measure,Geography,Geo_Label,GEO_Code,Age_Groups,Sex,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,males,2015-2018,3473824,5133709,67.7,0.5181,66.7,68.7,0.8,67.8,0.521697363,66.8,68.9,0.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,males,2015-2018,325356,454454,71.6,1.0717,69.5,73.7,1.5,72,1.012111564,70,74,1.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,males,2015-2018,312939,405285,77.2,0.9722,75.3,79.1,1.3,77.3,0.977885044,75.4,79.3,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,males,2015-2018,1152205,1605829,71.8,0.6634,70.4,73.1,0.9,71.9,0.633034277,70.7,73.2,0.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,males,2015-2018,1153504,1770244,65.2,0.7179,63.8,66.6,1.1,65.2,0.683046505,63.9,66.5,1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,YUKON,60,adults aged 18+ years,males,2015-2018,312939,405285,77.2,0.9722,75.3,79.1,1.3,77.3,0.977885044,75.4,79.3,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NORTHWEST TERRITORIES,61,adults aged 18+ years,males,2015-2018,1152205,1605829,71.8,0.6634,70.4,73.1,0.9,71.9,0.633034277,70.7,73.2,0.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NUNAVUT,62,adults aged 18+ years,males,2015-2018,1153504,1770244,65.2,0.7179,63.8,66.6,1.1,65.2,0.683046505,63.9,66.5,1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,CANADA,1,adults aged 18+ years,females,2015-2018,3473824,5133709,67.7,0.5181,66.7,68.7,0.8,67.8,0.521697363,66.8,68.9,0.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,females,2015-2018,144550,202090,71.5,1.1769,69.2,73.8,1.6,69.8,1.219038084,67.4,72.2,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,PRINCE EDWARD ISLAND,11,adults aged 18+ years,females,2015-2018,37057,55995,66.2,1.4155,63.4,69,2.1,65.3,1.456598103,62.5,68.2,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NOVA SCOTIA,12,adults aged 18+ years,females,2015-2018,236562,364275,64.9,0.9709,63,66.8,1.5,63.5,1.078147406,61.4,65.6,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NEW BRUNSWICK,13,adults aged 18+ years,females,2015-2018,197439,286712,68.9,1.1059,66.7,71,1.6,67.3,1.174041898,65,69.6,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,QUEBEC,24,adults aged 18+ years,females,2015-2018,1745627,3162615,55.2,0.5174,54.2,56.2,0.9,54.1,0.547558243,53.1,55.2,1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ONTARIO,35,adults aged 18+ years,females,2015-2018,2926252,5179017,56.5,0.5411,55.4,57.6,1,56.1,0.53049001,55,57.1,0.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,MANITOBA,46,adults aged 18+ years,females,2015-2018,252846,439116,57.6,1.1202,55.4,59.8,1.9,57.5,1.085231882,55.3,59.6,1.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,SASKATCHEWAN,47,adults aged 18+ years,females,2015-2018,236144,378920,62.3,1.0982,60.2,64.5,1.8,62.1,1.162625805,59.8,64.4,1.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,ALBERTA,48,adults aged 18+ years,females,2015-2018,843084,1493438,56.5,0.8001,54.9,58,1.4,56.9,0.726775525,55.5,58.3,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,BRITISH COLUMBIA,59,adults aged 18+ years,females,2015-2018,877544,1769783,49.6,0.7123,48.2,51,1.4,48.9,0.724672805,47.4,50.3,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,YUKON,60,adults aged 18+ years,females,2015-2018,312939,405285,77.2,0.9722,75.3,79.1,1.3,77.3,0.977885044,75.4,79.3,1.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NORTHWEST TERRITORIES,61,adults aged 18+ years,females,2015-2018,1152205,1605829,71.8,0.6634,70.4,73.1,0.9,71.9,0.633034277,70.7,73.2,0.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",province/territory,NUNAVUT,62,adults aged 18+ years,females,2015-2018,1153504,1770244,65.2,0.7179,63.8,66.6,1.1,65.2,0.683046505,63.9,66.5,1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,CANADA,1,adults aged 18+ years,both sexes,2015-2018,6400076,10312727,62.1,0.3704,61.3,62.8,0.6,62,0.374960045,61.2,62.7,0.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Eastern Regional,1011,adults aged 18+ years,both sexes,2015-2018,177890,244796,72.7,1.3274,70.1,75.3,1.8,72,1.250185681,69.5,74.4,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Central Regional,1012,adults aged 18+ years,both sexes,2015-2018,54269,69199,78.4,1.4607,75.6,81.3,1.9,75.5,1.952855476,71.7,79.4,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Western Regional,1013,adults aged 18+ years,both sexes,2015-2018,46721,60676,77,1.5118,74,80,2,74.6,1.67912299,71.4,77.9,2.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Labrador-Grenfell Regional,1014,adults aged 18+ years,both sexes,2015-2018,20364,25455,80,1.4805,77.1,82.9,1.9,79.2,1.603238756,76.1,82.4,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Prince Edward Island,1100,adults aged 18+ years,both sexes,2015-2018,78756,110696,71.1,1.0043,69.2,73.1,1.4,70.3,1.030091233,68.3,72.3,1.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 1 - Western,1201,adults aged 18+ years,both sexes,2015-2018,107633,147696,72.9,1.2870,70.3,75.4,1.8,71.8,1.340705136,69.1,74.4,1.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 2 - Northern,1202,adults aged 18+ years,both sexes,2015-2018,79678,109020,73.1,1.2903,70.6,75.6,1.8,71.1,1.596785404,68,74.2,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 3 - Eastern,1203,adults aged 18+ years,both sexes,2015-2018,86895,114341,76,1.4658,73.1,78.9,1.9,74.5,1.57113008,71.5,77.6,2.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 4 - Central,1204,adults aged 18+ years,both sexes,2015-2018,221228,341987,64.7,1.3818,62,67.4,2.1,64.8,1.203802169,62.4,67.2,1.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 1 (Moncton area),1301,adults aged 18+ years,both sexes,2015-2018,120609,162425,74.3,1.7371,70.8,77.7,2.3,72.6,1.781852488,69.1,76.1,2.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 2 (Saint John area),1302,adults aged 18+ years,both sexes,2015-2018,92616,128772,71.9,1.9043,68.2,75.7,2.6,70.2,1.776208727,66.8,73.7,2.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 3 (Fredericton area),1303,adults aged 18+ years,both sexes,2015-2018,89311,127600,70,1.5576,66.9,73,2.2,69.3,1.769791451,65.8,72.8,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 4 (Edmundston area),1304,adults aged 18+ years,both sexes,2015-2018,26341,35200,74.8,2.8946,69.2,80.5,3.9,74.4,2.807765356,68.9,79.9,3.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 5 (Campbellton area),1305,adults aged 18+ years,both sexes,2015-2018,13110,18192,72.1,3.6070,65,79.1,5,69.9,4.083264173,61.9,77.9,5.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 6 (Bathurst area),1306,adults aged 18+ years,both sexes,2015-2018,40512,57549,70.4,1.9493,66.6,74.2,2.8,67.2,2.324134657,62.6,71.7,3.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Zone 7 (Miramichi area),1307,adults aged 18+ years,both sexes,2015-2018,24168,30928,78.1,2.3332,73.6,82.7,3,77.7,2.421613183,73,82.5,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Bas-Saint-Laurent,2401,adults aged 18+ years,both sexes,2015-2018,100775,156634,64.3,1.3740,61.6,67,2.1,62.5,1.684155955,59.2,65.8,2.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Saguenay - Lac-Saint-Jean,2402,adults aged 18+ years,both sexes,2015-2018,135628,212025,64,1.1681,61.7,66.3,1.8,62.2,1.271738249,59.7,64.7,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Capitale-Nationale,2403,adults aged 18+ years,both sexes,2015-2018,340782,583270,58.4,1.1676,56.1,60.7,2,57.7,1.189958858,55.3,60,2.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Mauricie et du Centre-du-Québec,2404,adults aged 18+ years,both sexes,2015-2018,259508,394432,65.8,1.2252,63.4,68.2,1.9,64.3,1.279351002,61.7,66.8,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,L'Estrie,2405,adults aged 18+ years,both sexes,2015-2018,234980,369846,63.5,1.2071,61.2,65.9,1.9,62.3,1.427082651,59.5,65.1,2.3
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Région de Montréal,2406,adults aged 18+ years,both sexes,2015-2018,855922,1543975,55.4,0.9980,53.5,57.4,1.8,55.8,0.967903358,53.9,57.7,1.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,L'Outaouais,2407,adults aged 18+ years,both sexes,2015-2018,191473,293831,65.2,1.2534,62.7,67.6,1.9,64.6,1.276847244,62.1,67.1,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,L'Abitibi-Témiscamingue,2408,adults aged 18+ years,both sexes,2015-2018,77915,110043,70.8,1.2166,68.4,73.2,1.7,69.9,1.321774046,67.4,72.5,1.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Côte-Nord,2409,adults aged 18+ years,both sexes,2015-2018,44400,62557,71,1.3856,68.3,73.7,2,70,1.66068915,66.7,73.2,2.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Nord-du-Québec,2410,adults aged 18+ years,both sexes,2015-2018,7404,10793,68.6,1.7448,65.2,72,2.5,67.8,2.096457571,63.7,71.9,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Gaspésie - Îles-de-la-Madeleine,2411,adults aged 18+ years,both sexes,2015-2018,50712,71874,70.6,1.3992,67.8,73.3,2,66.9,1.630605798,63.7,70.1,2.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Chaudière-Appalaches,2412,adults aged 18+ years,both sexes,2015-2018,198312,327032,60.6,1.3752,57.9,63.3,2.3,59.8,1.290502922,57.3,62.4,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Région de Laval,2413,adults aged 18+ years,both sexes,2015-2018,197237,324751,60.7,1.4004,58,63.5,2.3,59.9,1.334297933,57.2,62.5,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Région de Lanaudière,2414,adults aged 18+ years,both sexes,2015-2018,250849,379465,66.1,1.3845,63.4,68.8,2.1,65.1,1.232156692,62.7,67.5,1.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Région des Laurentides,2415,adults aged 18+ years,both sexes,2015-2018,289849,463362,62.6,1.1309,60.3,64.8,1.8,61.2,1.305543364,58.7,63.8,2.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Montérégie,2416,adults aged 18+ years,both sexes,2015-2018,679084,1053889,64.4,1.0100,62.5,66.4,1.6,64,0.992108185,62,65.9,1.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,The District of Algoma HU,3526,adults aged 18+ years,both sexes,2015-2018,58067,83520,69.5,1.5277,66.5,72.5,2.2,68,2.079555742,64,72.1,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Brant County HU,3527,adults aged 18+ years,both sexes,2015-2018,62546,95755,65.3,1.6619,62.1,68.6,2.5,65.1,1.987564854,61.2,69,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Durham Regional HU,3530,adults aged 18+ years,both sexes,2015-2018,317388,493737,64.3,1.6026,61.1,67.4,2.5,64.4,1.57728538,61.4,67.5,2.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Elgin-St Thomas HU,3531,adults aged 18+ years,both sexes,2015-2018,45254,64758,69.9,1.2605,67.4,72.4,1.8,68.8,1.924792356,65.1,72.6,2.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Grey Bruce HU,3533,adults aged 18+ years,both sexes,2015-2018,82767,120763,68.5,1.7664,65.1,72,2.6,68.3,1.764905945,64.8,71.7,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Haldimand-Norfolk HU,3534,adults aged 18+ years,both sexes,2015-2018,55064,84160,65.4,2.1160,61.3,69.6,3.2,64.2,2.3546783,59.6,68.8,3.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,"Haliburton, Kawartha, Pine Ridge District HU",3535,adults aged 18+ years,both sexes,2015-2018,100994,143078,70.6,1.9055,66.8,74.3,2.7,68.6,2.098410195,64.5,72.7,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Halton Regional HU,3536,adults aged 18+ years,both sexes,2015-2018,256387,417787,61.4,1.4977,58.4,64.3,2.4,61,1.544395698,57.9,64,2.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,City of Hamilton HU,3537,adults aged 18+ years,both sexes,2015-2018,264875,414255,63.9,1.8759,60.3,67.6,2.9,64.3,1.691321221,61,67.6,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Hastings and Prince Edward Counties HU,3538,adults aged 18+ years,both sexes,2015-2018,80152,119238,67.2,1.6770,63.9,70.5,2.5,65.7,1.920601543,61.9,69.5,2.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Huron County HU,3539,adults aged 18+ years,both sexes,2015-2018,28849,42086,68.5,2.1071,64.4,72.7,3.1,67.4,2.29067624,62.9,71.9,3.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Chatham-Kent HU,3540,adults aged 18+ years,both sexes,2015-2018,54733,76390,71.7,2.1099,67.5,75.8,2.9,71.8,1.893849051,68.1,75.5,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,"Kingston, Frontenac and Lennox and Addington HU",3541,adults aged 18+ years,both sexes,2015-2018,103310,152483,67.8,1.7771,64.3,71.2,2.6,67.7,1.874425728,64,71.3,2.8
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Lambton HU,3542,adults aged 18+ years,both sexes,2015-2018,62975,94495,66.6,1.5359,63.6,69.7,2.3,65.2,2.053960838,61.2,69.2,3.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,"Leeds, Grenville and Lanark District HU",3543,adults aged 18+ years,both sexes,2015-2018,92658,128819,71.9,1.7342,68.5,75.3,2.4,71.5,1.912379153,67.8,75.3,2.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Middlesex-London HU,3544,adults aged 18+ years,both sexes,2015-2018,214860,348556,61.6,1.1228,59.4,63.8,1.8,62.1,1.492338533,59.2,65.1,2.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Niagara Regional Area HU,3546,adults aged 18+ years,both sexes,2015-2018,226822,341078,66.5,1.5339,63.5,69.5,2.3,64.9,1.643604325,61.7,68.1,2.5
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,North Bay Parry Sound District HU,3547,adults aged 18+ years,both sexes,2015-2018,67171,96037,69.9,1.7929,66.4,73.5,2.6,69.1,2.183673299,64.8,73.4,3.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Northwestern HU,3549,adults aged 18+ years,both sexes,2015-2018,33185,47520,69.8,2.4480,65,74.6,3.5,68.9,2.141298375,64.8,73.1,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,City of Ottawa HU,3551,adults aged 18+ years,both sexes,2015-2018,450883,722543,62.4,1.3946,59.7,65.1,2.2,62.5,1.358991835,59.8,65.1,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Oxford County HU,3552,adults aged 18+ years,both sexes,2015-2018,57299,82492,69.5,1.4513,66.6,72.3,2.1,69.2,1.663657898,66,72.5,2.4
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Peel Regional HU,3553,adults aged 18+ years,both sexes,2015-2018,658258,1037726,63.4,1.2752,60.9,65.9,2,64.1,1.261425057,61.6,66.6,2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Perth District HU,3554,adults aged 18+ years,both sexes,2015-2018,39947,57659,69.3,1.8119,65.7,72.8,2.6,68.3,1.817134751,64.7,71.8,2.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Peterborough County-City HU,3555,adults aged 18+ years,both sexes,2015-2018,73459,108749,67.5,2.0299,63.6,71.5,3,67,2.384238362,62.3,71.7,3.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Porcupine HU,3556,adults aged 18+ years,both sexes,2015-2018,43158,60015,71.9,2.1861,67.6,76.2,3,70.6,2.168457234,66.4,74.9,3.1
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Renfrew County and District HU,3557,adults aged 18+ years,both sexes,2015-2018,55726,75062,74.2,1.8189,70.7,77.8,2.5,73.1,2.086390117,69.1,77.2,2.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Eastern Ontario HU,3558,adults aged 18+ years,both sexes,2015-2018,107568,152867,70.4,1.6226,67.2,73.6,2.3,69.3,1.987029807,65.4,73.2,2.9
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Simcoe Muskoka District HU,3560,adults aged 18+ years,both sexes,2015-2018,271832,418520,65,1.6580,61.7,68.2,2.6,64,1.431527086,61.2,66.8,2.2
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Sudbury and District HU,3561,adults aged 18+ years,both sexes,2015-2018,99892,144823,69,1.5262,66,72,2.2,67.9,1.7448588,64.5,71.3,2.6
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Thunder Bay District HU,3562,adults aged 18+ years,both sexes,2015-2018,76403,106711,71.6,1.7795,68.1,75.1,2.5,70.7,1.881580356,67,74.4,2.7
Overweight or Obesity,"Prevalence (%) of overweight or obesity (self-reported, adjusted BMI)",Health Regions,Timiskaming HU,3563,adults aged 18+ years,both sexes,2015-2018,18604,23907,77.8,1.9628,74,81.7,2.5,76.2,2.520927378,71.3,81.2,3.3
