Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,2015-2018,125144,348769,35.9,1.1092,33.7,38.1,3.1,3,35.5,1.043051752,33.4,37.5,2.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,2015-2018,102512,273954,37.4,1.2324,35,39.8,3.3,3,36.3,1.248544477,33.9,38.8,3.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,2015-2018,839995,3195163,26.3,0.4874,25.3,27.2,1.9,3,26,0.4808414413,25,26.9,1.8,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,males,2,2015-2018,1393721,5133709,27.1,0.4361,26.3,28,1.6,3,27.2,0.453600252,26.4,28.1,1.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,males,2,2015-2018,145605,454454,32,1.0210,30,34,3.2,3,32.1,1.026137939,30.1,34.1,3.2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,males,2,2015-2018,143544,405285,35.4,1.1270,33.2,37.6,3.2,3,35.6,1.112085308,33.4,37.8,3.1,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,males,2,2015-2018,488133,1605829,30.4,0.7358,29,31.8,2.4,3,30.8,0.6881255774,29.4,32.1,2.2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,males,2,2015-2018,418562,1770244,23.6,0.5973,22.5,24.8,2.5,3,23.7,0.5851793045,22.6,24.9,2.5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,YUKON,60,adults aged 18+ years,1,males,2,2015-2018,5406,14521,37.2,2.1112,33.1,41.4,5.7,3,36.8,2.09905358,32.6,40.9,5.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NORTHWEST TERRITORIES,61,adults aged 18+ years,1,males,2,2015-2018,6274,15618,40.2,2.6755,34.9,45.4,6.7,3,40.3,2.33842939,35.7,44.9,5.8,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NUNAVUT,62,adults aged 18+ years,1,males,2,2015-2018,3560,11715,30.4,2.7621,25,35.8,9.1,3,32.8,3.214242781,26.5,39.1,9.8,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,females,3,2015-2018,3395121,13370783,25.4,0.2466,24.9,25.9,1,3,25.1,0.2360683175,24.7,25.6,0.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,females,3,2015-2018,76227,202090,37.7,1.2879,35.2,40.2,3.4,3,37.3,1.28144166,34.8,39.8,3.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,females,3,2015-2018,18372,55995,32.8,1.3965,30.1,35.6,4.3,3,32.5,1.400040025,29.7,35.2,4.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,females,3,2015-2018,119560,364275,32.8,0.9085,31,34.6,2.8,3,32.4,0.9739665206,30.5,34.4,3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,females,3,2015-2018,107882,286712,37.6,1.2134,35.2,40,3.2,3,36.9,1.240536357,34.4,39.3,3.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,females,3,2015-2018,755123,3162615,23.9,0.4710,23,24.8,2,3,23.4,0.4691501405,22.5,24.3,2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,females,3,2015-2018,1304422,5179017,25.2,0.4578,24.3,26.1,1.8,3,25,0.4357025872,24.1,25.8,1.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,females,3,2015-2018,124696,439116,28.4,0.9425,26.5,30.2,3.3,3,28.4,0.9398465935,26.6,30.2,3.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,females,3,2015-2018,115009,378920,30.4,1.0050,28.4,32.3,3.3,3,30.2,1.032232986,28.2,32.2,3.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,females,3,2015-2018,391663,1493438,26.2,0.6452,25,27.5,2.5,3,26.4,0.6088142109,25.2,27.6,2.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,females,3,2015-2018,367590,1769783,20.8,0.5507,19.7,21.9,2.7,3,20.5,0.5616947194,19.4,21.6,2.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,YUKON,60,adults aged 18+ years,1,females,3,2015-2018,4189,13352,31.4,2.4335,26.6,36.1,7.8,3,31.3,2.308807044,26.7,35.8,7.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NORTHWEST TERRITORIES,61,adults aged 18+ years,1,females,3,2015-2018,5862,14536,40.3,2.2406,35.9,44.7,5.6,3,42.2,2.508158698,37.3,47.1,5.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NUNAVUT,62,adults aged 18+ years,1,females,3,2015-2018,3499,9220,37.9,3.1940,31.7,44.2,8.4,3,40.9,3.624220652,33.8,48,8.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,CANADA,0,adults aged 18+ years,1,both sexes,1,2015-2018,7171152,26851615,26.7,0.1852,26.3,27.1,0.7,3,26.6,0.1742965224,26.2,26.9,0.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Eastern Regional,1011,adults aged 18+ years,1,both sexes,1,2015-2018,94679,244796,38.7,1.3599,36,41.3,3.5,3,38.6,1.405156709,35.8,41.3,3.6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Central Regional,1012,adults aged 18+ years,1,both sexes,1,2015-2018,27918,69199,40.3,1.8178,36.8,43.9,4.5,3,40.2,2.180178877,35.9,44.5,5.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Western Regional,1013,adults aged 18+ years,1,both sexes,1,2015-2018,27230,60676,44.9,2.0257,40.9,48.9,4.5,3,44.8,1.983670754,40.9,48.6,4.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Labrador-Grenfell Regional,1014,adults aged 18+ years,1,both sexes,1,2015-2018,11742,25455,46.1,1.9417,42.3,49.9,4.2,3,45.6,1.922223987,41.8,49.4,4.2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Prince Edward Island,1100,adults aged 18+ years,1,both sexes,1,2015-2018,36387,110696,32.9,1.0722,30.8,35,3.3,3,32.5,1.049547802,30.4,34.5,3.2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 1 - Western,1201,adults aged 18+ years,1,both sexes,1,2015-2018,55157,147696,37.3,1.4981,34.4,40.3,4,3,37.3,1.58208697,34.2,40.4,4.2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 2 - Northern,1202,adults aged 18+ years,1,both sexes,1,2015-2018,41112,109020,37.7,1.6647,34.4,41,4.4,3,37.1,1.641066984,33.9,40.3,4.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 3 - Eastern,1203,adults aged 18+ years,1,both sexes,1,2015-2018,44231,114341,38.7,1.6654,35.4,42,4.3,3,38.6,1.79381704,35.1,42.2,4.6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 4 - Central,1204,adults aged 18+ years,1,both sexes,1,2015-2018,104203,341987,30.5,1.1954,28.1,32.8,3.9,3,30.5,1.1353369,28.3,32.7,3.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 1 (Moncton area),1301,adults aged 18+ years,1,both sexes,1,2015-2018,61478,162425,37.9,1.7862,34.3,41.4,4.7,3,36.6,1.746781023,33.2,40,4.8,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 2 (Saint John area),1302,adults aged 18+ years,1,both sexes,1,2015-2018,49138,128772,38.2,2.0191,34.2,42.1,5.3,3,36.7,1.712865608,33.4,40.1,4.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 3 (Fredericton area),1303,adults aged 18+ years,1,both sexes,1,2015-2018,47236,127600,37,1.9157,33.3,40.8,5.2,3,37,2.008892048,33,40.9,5.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 4 (Edmundston area),1304,adults aged 18+ years,1,both sexes,1,2015-2018,13491,35200,38.3,2.6341,33.2,43.5,6.9,3,37.9,3.153108718,31.7,44,8.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 5 (Campbellton area),1305,adults aged 18+ years,1,both sexes,1,2015-2018,7223,18192,39.7,3.7888,32.3,47.1,9.5,3,39.5,3.528038829,32.6,46.4,8.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 6 (Bathurst area),1306,adults aged 18+ years,1,both sexes,1,2015-2018,19092,57549,33.2,1.8872,29.5,36.9,5.7,3,31.8,2.364862331,27.2,36.5,7.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Zone 7 (Miramichi area),1307,adults aged 18+ years,1,both sexes,1,2015-2018,12736,30928,41.2,2.9571,35.4,47,7.2,3,42,2.9521258,36.2,47.8,7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Bas-Saint-Laurent,2401,adults aged 18+ years,1,both sexes,1,2015-2018,39571,156634,25.3,1.5246,22.3,28.3,6,3,24.8,1.363965263,22.1,27.5,5.5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Saguenay - Lac-Saint-Jean,2402,adults aged 18+ years,1,both sexes,1,2015-2018,51931,212025,24.5,1.3667,21.8,27.2,5.6,3,24.3,1.243663269,21.8,26.7,5.1,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Capitale-Nationale,2403,adults aged 18+ years,1,both sexes,1,2015-2018,130421,583270,22.4,1.0054,20.4,24.3,4.5,3,22.2,1.040166891,20.1,24.2,4.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Mauricie et du Centre-du-Québec,2404,adults aged 18+ years,1,both sexes,1,2015-2018,114198,394432,29,1.0171,27,30.9,3.5,3,28.3,1.206400166,26,30.7,4.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Estrie,2405,adults aged 18+ years,1,both sexes,1,2015-2018,97778,369846,26.4,1.1482,24.2,28.7,4.3,3,26,1.27040631,23.5,28.5,4.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Montréal,2406,adults aged 18+ years,1,both sexes,1,2015-2018,318687,1543975,20.6,0.8682,18.9,22.3,4.2,3,20.9,0.8409116538,19.3,22.6,4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Outaouais,2407,adults aged 18+ years,1,both sexes,1,2015-2018,80247,293831,27.3,1.0585,25.2,29.4,3.9,3,26.9,1.17350489,24.6,29.2,4.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,L'Abitibi-Témiscamingue,2408,adults aged 18+ years,1,both sexes,1,2015-2018,37444,110043,34,1.3708,31.3,36.7,4,3,33.8,1.546931769,30.8,36.9,4.6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Côte-Nord,2409,adults aged 18+ years,1,both sexes,1,2015-2018,21831,62557,34.9,1.7292,31.5,38.3,5,3,34.1,1.682783175,30.8,37.4,4.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Nord-du-Québec,2410,adults aged 18+ years,1,both sexes,1,2015-2018,3277,10793,30.4,2.2179,26,34.7,7.3,3,30,2.058123091,26,34,6.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Gaspésie - Îles-de-la-Madeleine,2411,adults aged 18+ years,1,both sexes,1,2015-2018,22249,71874,31,1.4520,28.1,33.8,4.7,3,30.7,1.665293525,27.4,34,5.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Chaudière-Appalaches,2412,adults aged 18+ years,1,both sexes,1,2015-2018,73663,327032,22.5,1.2493,20.1,25,5.5,3,22.2,1.214905637,19.8,24.6,5.5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Laval,2413,adults aged 18+ years,1,both sexes,1,2015-2018,81773,324751,25.2,1.1839,22.9,27.5,4.7,3,24.8,1.146592242,22.6,27,4.6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région de Lanaudière,2414,adults aged 18+ years,1,both sexes,1,2015-2018,109689,379465,28.9,1.5750,25.8,32,5.4,3,28.2,1.226926486,25.8,30.6,4.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Région des Laurentides,2415,adults aged 18+ years,1,both sexes,1,2015-2018,115254,463362,24.9,1.0541,22.8,26.9,4.2,3,24.5,1.148549339,22.2,26.7,4.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Montérégie,2416,adults aged 18+ years,1,both sexes,1,2015-2018,297105,1053889,28.2,1.0730,26.1,30.3,3.8,3,27.9,1.025584281,25.9,29.9,3.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,The District of Algoma HU,3526,adults aged 18+ years,1,both sexes,1,2015-2018,30345,83520,36.3,1.5797,33.2,39.4,4.3,3,35.2,2.074568919,31.2,39.3,5.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Brant County HU,3527,adults aged 18+ years,1,both sexes,1,2015-2018,30536,95755,31.9,1.8520,28.3,35.5,5.8,3,32.1,1.837574837,28.5,35.7,5.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Durham Regional HU,3530,adults aged 18+ years,1,both sexes,1,2015-2018,143931,493737,29.2,1.6856,25.8,32.5,5.8,3,28.9,1.474794734,26.1,31.8,5.1,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Elgin-St Thomas HU,3531,adults aged 18+ years,1,both sexes,1,2015-2018,23694,64758,36.6,1.7986,33.1,40.1,4.9,3,35.9,2.128161228,31.7,40,5.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Grey Bruce HU,3533,adults aged 18+ years,1,both sexes,1,2015-2018,41589,120763,34.4,1.7481,31,37.9,5.1,3,34.1,1.904547653,30.4,37.8,5.6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Haldimand-Norfolk HU,3534,adults aged 18+ years,1,both sexes,1,2015-2018,24129,84160,28.7,1.5886,25.6,31.8,5.5,3,28.4,1.778901787,25,31.9,6.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,"Haliburton, Kawartha, Pine Ridge District HU",3535,adults aged 18+ years,1,both sexes,1,2015-2018,49583,143078,34.7,1.9787,30.8,38.5,5.7,3,34.7,2.229962222,30.4,39.1,6.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Halton Regional HU,3536,adults aged 18+ years,1,both sexes,1,2015-2018,99923,417787,23.9,1.2449,21.5,26.4,5.2,3,23.7,1.25381973,21.3,26.2,5.3,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,City of Hamilton HU,3537,adults aged 18+ years,1,both sexes,1,2015-2018,112815,414255,27.2,1.6854,23.9,30.5,6.2,3,27.4,1.487099073,24.5,30.3,5.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Hastings and Prince Edward Counties HU,3538,adults aged 18+ years,1,both sexes,1,2015-2018,41941,119238,35.2,1.9040,31.4,38.9,5.4,3,34.9,2.102921273,30.8,39.1,6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Huron County HU,3539,adults aged 18+ years,1,both sexes,1,2015-2018,14371,42086,34.1,2.4010,29.4,38.9,7,3,33.4,2.122528985,29.2,37.6,6.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Chatham-Kent HU,3540,adults aged 18+ years,1,both sexes,1,2015-2018,28962,76390,37.9,2.0462,33.9,41.9,5.4,3,38.4,1.935748159,34.6,42.1,5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,"Kingston, Frontenac and Lennox and Addington HU",3541,adults aged 18+ years,1,both sexes,1,2015-2018,49206,152483,32.3,1.9349,28.5,36.1,6,3,32.4,1.811541313,28.9,36,5.6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Lambton HU,3542,adults aged 18+ years,1,both sexes,1,2015-2018,28806,94495,30.5,1.8509,26.9,34.1,6.1,3,29.8,1.907017452,26.1,33.6,6.4,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,"Leeds, Grenville and Lanark District HU",3543,adults aged 18+ years,1,both sexes,1,2015-2018,44470,128819,34.5,2.4783,29.7,39.4,7.2,3,34.8,2.265640155,30.4,39.3,6.5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Middlesex-London HU,3544,adults aged 18+ years,1,both sexes,1,2015-2018,92482,348556,26.5,1.6051,23.4,29.7,6,3,27,1.498951631,24,29.9,5.6,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Niagara Regional Area HU,3546,adults aged 18+ years,1,both sexes,1,2015-2018,101525,341078,29.8,1.5614,26.7,32.8,5.2,3,28.9,1.585632823,25.8,32,5.5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,North Bay Parry Sound District HU,3547,adults aged 18+ years,1,both sexes,1,2015-2018,30413,96037,31.7,1.7153,28.3,35,5.4,3,31.2,2.15261569,27,35.4,6.9,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Northwestern HU,3549,adults aged 18+ years,1,both sexes,1,2015-2018,17120,47520,36,2.3905,31.3,40.7,6.6,3,35.7,2.177974701,31.4,40,6.1,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,City of Ottawa HU,3551,adults aged 18+ years,1,both sexes,1,2015-2018,167177,722543,23.1,1.1481,20.9,25.4,5,3,23.2,1.188364111,20.8,25.5,5.1,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Oxford County HU,3552,adults aged 18+ years,1,both sexes,1,2015-2018,30647,82492,37.2,1.8649,33.5,40.8,5,3,37.4,2.067117645,33.3,41.4,5.5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Peel Regional HU,3553,adults aged 18+ years,1,both sexes,1,2015-2018,239454,1037726,23.1,1.1601,20.8,25.4,5,3,23.4,1.089078449,21.3,25.5,4.7,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Perth District HU,3554,adults aged 18+ years,1,both sexes,1,2015-2018,20177,57659,35,1.9480,31.2,38.8,5.6,3,34.3,2.134375269,30.2,38.5,6.2,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Peterborough County-City HU,3555,adults aged 18+ years,1,both sexes,1,2015-2018,36597,108749,33.7,2.3947,29,38.4,7.1,3,34.5,2.330299934,30,39.1,6.8,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Porcupine HU,3556,adults aged 18+ years,1,both sexes,1,2015-2018,23296,60015,38.8,2.4601,34,43.6,6.3,3,38.3,2.092392149,34.2,42.4,5.5,3
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,Health Regions,2,Renfrew County and District HU,3557,adults aged 18+ years,1,both sexes,1,2015-2018,25517,75062,34,2.0586,30,38,6.1,3,33.7,2.147909066,29.5,37.9,6.4,3
