Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,SDOH,SDOH_ID,SDOH_Cat,SDOH_Cat_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret,N,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,7251,22099,32.8,3.1433,26.6,39,9.6,3,32.2,3.390812469,25.6,38.9,10.5,3,103,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,8718,23542,37,3.4396,30.3,43.8,9.3,3,36.9,3.363751008,30.3,43.5,9.1,3,110,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,6877,26472,26,3.3606,19.4,32.6,12.9,3,27,3.287574815,20.5,33.4,12.2,3,85,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,45740,123738,37,2.5206,32,41.9,6.8,3,39.7,2.684878561,34.4,44.9,6.8,3,316,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,41421,122960,33.7,2.2190,29.3,38,6.6,3,34.8,2.64920573,29.6,40,7.6,3,280,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,51249,136039,37.7,2.4960,32.8,42.6,6.6,3,37.5,2.482690526,32.6,42.4,6.6,3,292,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,53035,158694,33.4,2.1069,29.3,37.6,6.3,3,31.8,2.082726105,27.7,35.9,6.5,3,279,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,52447,168371,31.1,2.2259,26.8,35.5,7.1,3,29.2,2.235682313,24.8,33.5,7.7,3,240,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,34487,83871,41.1,2.7641,35.7,46.5,6.7,3,43.3,3.077235084,37.2,49.3,7.1,3,200,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,41630,115360,36.1,2.7948,30.6,41.6,7.7,3,36.3,2.957243793,30.5,42.1,8.1,3,220,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,43032,109772,39.2,2.8669,33.6,44.8,7.3,3,38.7,2.703654562,33.4,44,7,3,212,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,51487,130263,39.5,2.5334,34.6,44.5,6.4,3,38.2,2.875917963,32.6,43.8,7.5,3,213,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,44358,117410,37.8,2.7652,32.4,43.2,7.3,3,36.6,2.873513599,31,42.2,7.9,3,192,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,358607,1387915,25.8,1.0661,23.7,27.9,4.1,3,26.7,1.140975402,24.5,28.9,4.3,3,1325,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,345941,1367323,25.3,0.9763,23.4,27.2,3.9,3,25.8,1.090939308,23.6,27.9,4.2,3,1195,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,321238,1356939,23.7,0.9787,21.8,25.6,4.1,3,23.1,1.008800252,21.1,25.1,4.4,3,1067,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,307685,1265123,24.3,1.1523,22.1,26.6,4.7,3,22.9,1.015913265,20.9,24.9,4.4,3,907,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,209079,934328,22.4,1.2299,20,24.8,5.5,3,21.6,1.263370957,19.1,24,5.8,3,675,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,508900,1947331,26.1,1.0886,24,28.3,4.2,3,27.4,1.09016183,25.3,29.5,4,3,1575,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,537471,1968636,27.3,1.0579,25.2,29.4,3.9,3,27.9,1.125203936,25.7,30.1,4,3,1544,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,543369,2051901,26.5,1.0238,24.5,28.5,3.9,3,26.5,1.052384147,24.4,28.5,4,3,1607,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,559904,2091905,26.8,0.9493,24.9,28.6,3.5,3,26.6,0.947679927,24.7,28.4,3.6,3,1663,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,523925,2083862,25.1,0.8991,23.4,26.9,3.6,3,24,0.923203674,22.2,25.8,3.8,3,1590,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,46813,154723,30.3,2.5336,25.3,35.2,8.4,3,32,2.728985969,26.6,37.3,8.5,3,260,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,53278,180015,29.6,2.1353,25.4,33.8,7.2,3,29.9,2.239403522,25.5,34.3,7.5,3,291,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,45750,168210,27.2,1.9631,23.3,31.1,7.2,3,27.6,2.018506986,23.6,31.5,7.3,3,257,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,61421,182896,33.6,2.3034,29.1,38.1,6.9,3,32.4,2.202784236,28.1,36.7,6.8,3,321,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,61371,192312,31.9,1.9828,28,35.8,6.2,3,30.6,1.891760416,26.8,34.3,6.2,3,389,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,31672,103241,30.7,2.9387,24.9,36.4,9.6,3,32.4,3.164337086,26.2,38.6,9.8,3,208,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,29994,99923,30,2.8193,24.5,35.5,9.4,3,29,2.873217059,23.3,34.6,9.9,3,198,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,43598,137110,31.8,2.7351,26.4,37.2,8.6,3,32.1,2.69580844,26.8,37.4,8.4,3,217,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,55179,169181,32.6,2.3564,28,37.2,7.2,3,32.4,2.232857511,28.1,36.8,6.9,3,276,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,79131,265922,29.8,1.6053,26.6,32.9,5.4,3,30.1,1.743199561,26.7,33.5,5.8,3,408,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,113778,361122,31.5,1.9172,27.7,35.3,6.1,3,33,2.102331254,28.9,37.2,6.4,3,473,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,124397,490465,25.4,1.5966,22.2,28.5,6.3,3,25.8,1.614677706,22.6,29,6.3,3,536,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,160859,554424,29,1.7269,25.6,32.4,6,3,29.6,1.692299237,26.3,33,5.7,3,557,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,168889,626796,26.9,1.4253,24.1,29.7,5.3,3,26.7,1.280846287,24.2,29.2,4.8,3,678,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,287830,1035933,27.8,1.1181,25.6,30,4,3,26.9,1.113679487,24.7,29.1,4.1,3,1068,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2016,142510,674975,21.1,1.3306,18.5,23.7,6.3,3,22.5,1.404692119,19.8,25.3,6.2,3,570,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2016,149177,734266,20.3,1.3072,17.8,22.9,6.4,3,20.5,1.304183708,17.9,23,6.4,3,564,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2016,148176,717482,20.7,1.2498,18.2,23.1,6.1,3,20.4,1.283948972,17.9,23,6.3,3,544,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2016,153385,675708,22.7,1.3988,20,25.4,6.2,3,22.5,1.356309171,19.8,25.1,6,3,561,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (income),5,2015-2016,159936,697649,22.9,1.3092,20.4,25.5,5.7,3,21.8,1.251578308,19.4,24.3,5.7,3,613,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2016,550377,2160299,25.5,0.9162,23.7,27.3,3.6,3,27,0.96689692,25.1,28.9,3.6,3,1870,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2016,660530,2430062,27.2,0.8251,25.6,28.8,3,3,27.8,0.911262425,26,29.6,3.3,3,2250,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2016,739906,2668522,27.7,0.7921,26.2,29.3,2.9,3,27.7,0.819424363,26.1,29.3,3,3,2420,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2016,839771,2814230,29.8,0.8040,28.3,31.4,2.7,3,29.4,0.771534275,27.9,30.9,2.6,3,2756,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (income),5,2015-2016,941729,3224617,29.2,0.7006,27.8,30.6,2.4,3,28,0.677749629,26.6,29.3,2.4,3,3348,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2016,10746,28748,37.4,4.4505,28.6,46.1,11.9,3,37.4,5.483329535,26.6,48.1,14.7,3,75,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2016,15022,33565,44.8,3.9627,37,52.5,8.9,3,43.8,4.971562363,34.1,53.6,11.4,3,96,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2016,11539,27906,41.3,4.4823,32.6,50.1,10.8,3,40.8,5.124596431,30.8,50.9,12.6,3,78,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2016,19584,41490,47.2,4.1871,39,55.4,8.9,3,46.7,4.155647943,38.6,54.9,8.9,3,106,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (income),5,2015-2016,31151,65373,47.7,3.7016,40.4,54.9,7.8,3,42.5,3.383742114,35.9,49.2,8,3,145,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2016,1546,5320,29.1,5.7280,17.8,40.3,19.7,2,28.8,5.996465248,17.1,40.6,20.8,2,26,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2016,2530,11453,22.1,4.2819,13.7,30.5,19.4,2,20.4,4.387398838,11.8,29,21.5,2,33,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2016,3424,9778,35,5.2682,24.7,45.4,15,3,38.5,6.310598497,26.1,50.8,16.4,2,39,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2016,4882,12567,38.8,4.9483,29.1,48.6,12.7,3,37.6,4.849724114,28.1,47.1,12.9,3,48,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (income),5,2015-2016,4832,14648,33,4.8598,23.5,42.5,14.7,3,36.9,4.973133843,27.2,46.7,13.5,3,54,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2016,20751,55824,37.2,3.8758,29.6,44.8,10.4,3,39.3,4.14296665,31.2,47.4,10.5,3,114,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2016,18940,56075,33.8,3.2214,27.5,40.1,9.5,3,35.3,3.739071206,28,42.6,10.6,3,122,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2016,25062,58323,43,3.8112,35.5,50.5,8.9,3,43.1,3.61859279,36.1,50.2,8.4,3,131,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2016,31375,85674,36.6,2.8796,31,42.3,7.9,3,35.9,2.925614238,30.2,41.7,8.1,3,156,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (income),5,2015-2016,30013,89877,33.4,2.9646,27.6,39.2,8.9,3,31.8,2.977807256,25.9,37.6,9.4,3,144,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2016,12485,32028,39,5.3121,28.6,49.4,13.6,3,38.1,5.015888084,28.2,47.9,13.2,3,67,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2016,18768,48563,38.6,4.2808,30.2,47,11.1,3,35.9,4.32896471,27.4,44.4,12.1,3,93,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2016,23596,59755,39.5,4.0795,31.5,47.5,10.3,3,38.7,3.802625217,31.3,46.2,9.8,3,103,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2016,28721,70128,41,3.5954,33.9,48,8.8,3,40.7,4.585567313,31.7,49.7,11.3,3,112,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (income),5,2015-2016,22716,61807,36.8,3.9741,29,44.6,10.8,3,34.3,3.733130517,27,41.6,10.9,3,100,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2016,152189,598314,25.4,1.7136,22.1,28.8,6.7,3,26.1,1.793780112,22.6,29.6,6.9,3,477,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2016,170067,636557,26.7,1.5440,23.7,29.7,5.8,3,27.7,1.666294999,24.4,31,6,3,545,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2016,175587,695960,25.2,1.4238,22.4,28,5.6,3,24.5,1.362057554,21.8,27.2,5.6,3,545,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2016,182389,689351,26.5,1.6647,23.2,29.7,6.3,3,25.1,1.40982226,22.3,27.8,5.6,3,499,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (income),5,2015-2016,144741,549770,26.3,1.6720,23,29.6,6.4,3,25,1.644520571,21.8,28.2,6.6,3,448,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2016,209429,881560,23.8,1.6171,20.6,26.9,6.8,3,25.7,1.727690477,22.3,29.1,6.7,3,561,,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2016,261032,920620,28.4,1.5314,25.3,31.4,5.4,3,29.3,1.7290841,25.9,32.7,5.9,3,690,,
