Indicator,Indicator_ID,Indicator_Measure,Indicator_Measure_ID,Geography,Geography_ID,Geo_Label,GEO_Code,Age_Groups,Age_Groups_ID,Sex,Sex_ID,SDOH,SDOH_ID,SDOH_Cat,SDOH_Cat_ID,Year,Numerator,Denominator,CrudeRate,StdErr_Cr,Lower_CI_Cr,Upper_CI_Cr,CV_Cr,CV_Cr_Interpret,ASR,StdErr_ASR,Lower_CI_ASR,Upper_CI_ASR,CV_ASR,CV_ASR_Interpret,N,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,MANITOBA,46,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,57836,174938,33.1,1.6099,29.9,36.2,4.9,3,31.8,1.499255056,28.8,34.7,4.7,3,700,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,35975,108901,33,1.9859,29.1,36.9,6,3,35.4,2.213703621,31,39.7,6.3,3,470,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,38291,111482,34.3,1.8516,30.7,38,5.4,3,34,2.118891772,29.8,38.1,6.2,3,447,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,51988,144360,36,1.9715,32.1,39.9,5.5,3,35.9,1.990141494,32,39.8,5.5,3,506,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,56327,172355,32.7,1.6148,29.5,35.8,4.9,3,32.5,1.598203929,29.4,35.7,4.9,3,565,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,SASKATCHEWAN,47,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,75972,247108,30.7,1.2067,28.4,33.1,3.9,3,30.8,1.310952835,28.2,33.4,4.3,3,801,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,122391,414747,29.5,1.1142,27.3,31.7,3.8,3,30.9,1.361816302,28.3,33.6,4.4,3,1076,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,138422,505331,27.4,1.1349,25.2,29.6,4.1,3,28.1,1.160131374,25.8,30.4,4.1,3,1179,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,172693,596417,29,1.0305,26.9,31,3.6,3,29.7,1.093665898,27.5,31.8,3.7,3,1235,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,183674,641336,28.6,1.023,26.6,30.6,3.6,3,28.7,1.013040541,26.7,30.7,3.5,3,1408,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ALBERTA,48,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,262616,941436,27.9,0.8249,26.3,29.5,3,3,26.8,0.786986822,25.3,28.4,2.9,3,1979,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 1 (lowest),1,2015-2018,148370,687770,21.6,0.9149,19.8,23.4,4.2,3,22.5,0.949082705,20.7,24.4,4.2,3,1198,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 2,2,2015-2018,151274,728196,20.8,0.8885,19,22.5,4.3,3,21.3,0.947107078,19.4,23.1,4.4,3,1201,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 3,3,2015-2018,161855,711824,22.7,0.9304,20.9,24.6,4.1,3,22.6,1.004662711,20.7,24.6,4.4,3,1178,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 4,4,2015-2018,162955,692029,23.5,0.9793,21.6,25.5,4.2,3,22.9,0.931544904,21.1,24.8,4.1,3,1195,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,BRITISH COLUMBIA,59,adults aged 18+ years,1,both sexes,1,Income (household),1,Quintile 5 (highest),5,2015-2018,161697,720208,22.5,0.9266,20.6,24.3,4.1,3,21.5,0.890639972,19.8,23.3,4.1,3,1259,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2018,550377,2160299,25.5,0.9162,23.7,27.3,3.6,3,27,0.96689692,25.1,28.9,3.6,3,1870,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2018,660530,2430062,27.2,0.8251,25.6,28.8,3,3,27.8,0.911262425,26,29.6,3.3,3,2250,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2018,739906,2668522,27.7,0.7921,26.2,29.3,2.9,3,27.7,0.819424363,26.1,29.3,3,3,2420,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2018,839771,2814230,29.8,0.804,28.3,31.4,2.7,3,29.4,0.771534275,27.9,30.9,2.6,3,2756,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,CANADA,0,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (highest),5,2015-2018,941729,3224617,29.2,0.7006,27.8,30.6,2.4,3,28,0.677749629,26.6,29.3,2.4,3,3348,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2018,11052,29127,37.9,3.1798,31.7,44.2,8.4,3,38.8,3.529083245,31.9,45.7,9.1,3,163,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2018,14831,36240,40.9,2.8966,35.2,46.6,7.1,3,41.9,3.673112403,34.7,49.1,8.8,3,191,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2018,14765,32753,45.1,2.802,39.6,50.6,6.2,3,44,3.194343409,37.8,50.3,7.3,3,174,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2018,18706,41027,45.6,3.1651,39.4,51.8,6.9,3,45.1,3.004050715,39.2,51,6.7,3,209,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEWFOUNDLAND AND LABRADOR,10,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (highest),5,2015-2018,25988,58888,44.1,2.6367,39,49.3,6,3,40.2,2.580646166,35.2,45.3,6.4,3,266,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2018,1795,6295,28.5,4.1305,20.4,36.6,14.5,3,30.8,4.347939975,22.3,39.3,14.1,3,56,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2018,3814,11406,33.4,3.5131,26.5,40.3,10.5,3,32,3.783445192,24.6,39.4,11.8,3,91,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2018,3504,11208,31.3,3.3452,24.7,37.8,10.7,3,32.7,3.901896635,25,40.3,11.9,3,86,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2018,4393,11820,37.2,3.5166,30.3,44.1,9.5,3,37.2,3.535052703,30.3,44.1,9.5,3,94,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,PRINCE EDWARD ISLAND,11,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (highest),5,2015-2018,4508,13972,32.3,3.2915,25.8,38.7,10.2,3,32.6,3.207831229,26.3,38.9,9.8,3,96,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2018,20582,58202,35.4,2.8474,29.8,40.9,8.1,3,36.9,2.728449522,31.6,42.2,7.4,3,239,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2018,19626,57560,34.1,2.525,29.1,39.1,7.4,3,34.8,2.613960312,29.7,39.9,7.5,3,240,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2018,25284,66532,38,2.5903,32.9,43.1,6.8,3,37.7,2.553043029,32.7,42.7,6.8,3,255,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2018,31294,82810,37.8,2.1823,33.5,42.1,5.8,3,36.2,2.072113285,32.1,40.2,5.7,3,310,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NOVA SCOTIA,12,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (highest),5,2015-2018,28358,83666,33.9,2.035,29.9,37.9,6,3,32.1,2.169008597,27.9,36.4,6.8,3,257,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2018,12874,34894,36.9,3.4493,30.1,43.7,9.3,3,39.8,3.641820813,32.6,46.9,9.2,3,138,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2018,18320,49506,37,2.9107,31.3,42.7,7.9,3,36.7,3.324238019,30.2,43.2,9.1,3,172,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2018,22758,61638,36.9,2.8529,31.3,42.5,7.7,3,35.9,2.5874944,30.8,41,7.2,3,200,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2018,27044,67838,39.9,2.5796,34.8,44.9,6.5,3,38.5,2.806152022,33,44,7.3,3,222,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,NEW BRUNSWICK,13,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (highest),5,2015-2018,21517,60078,35.8,2.6775,30.6,41.1,7.5,3,32.5,2.456189645,27.7,37.3,7.6,3,192,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2018,155362,617759,25.1,1.0829,23,27.3,4.3,3,25.4,1.15988422,23.2,27.7,4.6,3,1048,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2018,174571,659871,26.5,1.1572,24.2,28.7,4.4,3,26.8,1.136253296,24.6,29.1,4.2,3,1092,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 3,3,2015-2018,185346,685148,27.1,0.9849,25.1,29,3.6,3,26.5,0.974498935,24.6,28.4,3.7,3,1177,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 4,4,2015-2018,177742,673836,26.4,0.9939,24.4,28.3,3.8,3,25.4,0.974495655,23.5,27.3,3.8,3,1060,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,QUEBEC,24,adults aged 18+ years,1,males,2,Income (household),1,Quintile 5 (highest),5,2015-2018,146974,558550,26.3,1.1264,24.1,28.5,4.3,3,25,1.136225718,22.8,27.3,4.5,3,920,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,males,2,Income (household),1,Quintile 1 (lowest),1,2015-2018,200947,871529,23.1,1.0344,21,25.1,4.5,3,24.7,1.170686451,22.4,27,4.7,3,1177,
Obesity,1,"Prevalence (%) of obesity (self-reported, adjusted BMI)",1,province/territory,1,ONTARIO,35,adults aged 18+ years,1,males,2,Income (household),1,Quintile 2,2,2015-2018,261336,962505,27.2,1.0687,25.1,29.2,3.9,3,27.2,1.170071381,24.9,29.5,4.3,3,1403,
